"text,created_at,favorite_count"
"Big time in U.S. today - MAKE AMERICA GREAT AGAIN! Politicians are all talk and no action - they can never bring us back.,06-16-2015 12:20:40,499"
"Thanks. https://t.co/eZfgrOy1Hn,06-16-2015 12:24:41,162"
"It is almost time. I will be making a major announcement from @TrumpTowerNY at 11AM. Follow on social media! #MakeAmericaGreatAgain,06-16-2015 13:04:05,514"
"Make sure to follow me on @periscopeco #MakeAmericaGreatAgain,06-16-2015 13:07:50,187"
"In one hour I will be making a major announcement from Trump Tower. Watch it live on Periscope! https://t.co/kYOHIpBzan,06-16-2015 14:01:13,371"
"Make sure to follow me on @periscopeco. I will be streaming my announcement at 11AM.,06-16-2015 14:31:51,261"
"11AM #MakeAmericaGreatAgain https://t.co/445bOdp6QY,06-16-2015 14:48:26,365"
"Thanks Geraldo you're a champion. https://t.co/APfc0PThCP,06-16-2015 14:51:37,864"
"LIVE on #Periscope: Major announcement! #MakeAmericaGreatAgain https://t.co/XW3PqHemNq,06-16-2015 14:58:14,691"
"I am officially running for President of the United States. #MakeAmericaGreatAgain https://t.co/Ct0lNu7kz0,06-16-2015 15:57:23,10400"
"#MakeAmericaGreatAgain https://t.co/JguVmqXqWA,06-16-2015 17:23:59,935"
"Thanks Eric. https://t.co/phUbaTvq8d,06-16-2015 17:59:15,672"
"Today I officially declared my candidacy for President of the United States. Watch the video of my full speech- https://t.co/gonTk0o9Dt,06-16-2015 19:15:54,10408"
"Dear @kimguilfoyle Thank you so much for your nice words today on @TheFive. Will not be forgotten! In Iowa now. Packed house!,06-17-2015 00:22:01,904"
"@ericbolling watched you on my flight to Iowa. Will not be forgotten.,06-17-2015 00:28:59,196"
"Thanks @greggutfeld. Really nice! I’m glad I did your show. @GregGutfeldShow,06-17-2015 01:13:33,450"
"@ericbolling in additionno doubt you would have been amazing on @ApprenticeNBC! Keep up the great work.,06-17-2015 01:55:59,136"
"Enjoyed watching @MonicaCrowley's analysis of my @BillOreilly interview. Great points! Thank you Monica.,06-17-2015 03:37:30,442"
"Thank you Sarah--Let's have pizza in New York soon with you &amp; your great family https://t.co/SQ6LsNZ6UC,06-17-2015 14:53:22,705"
"Only a fool would buy the @NYDailyNews. Loses fortune &amp; has zero gravitas. Let it die!,06-17-2015 15:54:34,545"
"We need someone with experience to rebuild America. #MakeAmericaGreatAgain https://t.co/Y5Wq9LuCT0,06-17-2015 16:05:58,1203"
"Heading to New Hampshire. #MakeAmericaGreatAgain https://t.co/qTMiYoR9wu,06-17-2015 17:43:36,724"
"Speaking to great patriots @MCC_CT. My first visit to Granite State since declaring my candidacy! #FITN https://t.co/HfdDwzjOf0,06-17-2015 22:56:57,391"
"Thank you. https://t.co/cTB9G0sAl0,06-18-2015 15:52:15,119"
"Trump Int'l Hotel &amp; Tower Chicago has received accolades for design service &amp; our signature restaurant ""Sixteen"" http://t.co/4oJj9nQnUH,06-18-2015 16:35:52,125"
"The tragedy in South Carolina is incomprehensible. My deepest condolences to all.,06-18-2015 16:58:49,1154"
"Watch my appearance on @Morning_Joe - great interview! http://t.co/ZVftDka774,06-18-2015 17:35:19,232"
"Trump Nat'l Golf Club Philadelphia 360 beautiful acres as designed by Tom Fazio with views of the Philly skyline.  http://t.co/jha0m0W4Kk,06-18-2015 18:52:48,104"
"Just watched Brian Williams on @TODAYshow - very sad! Brian should get on with a new life and not start all over at @msnbc. Stop apologizing,06-19-2015 12:53:20,302"
"Goofy political pundit George Will spoke at Mar-a-Lago years ago. I didn’t attend because he’s boring &amp; often wrong—a total dope!,06-19-2015 14:27:59,248"
"George Will was a big Iraq fool.  $2 trillion thousands of lives lost -- &amp; we got nothing! Dummy.,06-19-2015 14:34:04,351"
"Has Charles @krauthammer ever apologized for being so totally wrong on Iraq? I called it right in every way—Make America Great Again!,06-19-2015 14:35:44,324"
"Hillary Clinton reaches new low. #TrumpVlog https://t.co/kgmQ2jVF6b,06-19-2015 14:42:45,410"
"Stop saying I went bankrupt. I never went bankrupt but like many great business people have used the laws to corporate advantage—smart!,06-19-2015 16:30:25,1169"
"People buy deals &amp; immediately put them into bankruptcy in order to make better deals. It’s a very effective &amp; commonly used business tool.,06-19-2015 16:30:50,425"
"Almost every major dealmaker has used the bankruptcy laws as a business tool. Icahn Black Zell—but nobody says they went bankrupt!,06-19-2015 16:31:27,395"
"Out of hundreds of deals &amp; transactions I have used the bankruptcy laws a few times to make deals better. Nothing personal just business.,06-19-2015 16:32:02,600"
"Via @WashTimes by @CharlesHurt: ""Donald Trump declares war on lying street-hustlers of Congress”  http://t.co/IonH0WEDEs,06-19-2015 18:42:55,240"
"Our country is in a major crisis of incompetent leadership. We cannot continue to go on with these politicians who do nothing but talk.,06-19-2015 20:31:45,1822"
"Why did @DanaPerino beg me for a tweet (endorsement) when her book was launched?,06-20-2015 01:03:05,348"
"I like Mexico and love the spirit of  Mexican people but we must protect our borders from people from all over pouring into the U.S.,06-20-2015 01:15:22,2118"
"Mexico is killing the United States economically because their leaders and negotiators are FAR smarter than ours. But nobody beats Trump!,06-20-2015 01:54:25,1770"
"Druggies drug dealers rapists and killers are coming across the southern border. When will the U.S. get smart and stop this travesty?,06-20-2015 02:22:29,2181"
"My speech is right now on C-SPAN 1,06-20-2015 23:48:43,312"
"Thank you @AnnCoulter for your nice words. The U.S. is becoming a dumping ground for the world. Pols don't get it. Make America Great Again!,06-21-2015 00:25:21,643"
"Who would you rather have negotiating for the U.S. against Putin Iran China etc. Donald Trump or Hillary? Is there even a little doubt?,06-21-2015 00:57:54,2128"
"Via @nypost by @JonathonTrugman: ""Donald Trump’s resume backs his run for president"" http://t.co/mDKEOW9vrf,06-21-2015 15:41:29,200"
"Happy Father's Day to all! I had a wonderful and loving father. https://t.co/SdrRctSxhu,06-21-2015 17:14:23,489"
"Via @BreitbartNews by @ASwoyer: ""Exclusive: Trump Slams Obamatrade Stands Up For American Jobs""http://t.co/kE5pjagvtq,06-21-2015 18:38:29,179"
".@KarlRove who spent $430 million in the last cycle and didn't win one race said I'm not a candidate until I file papers. Next week Karl!,06-21-2015 22:28:29,343"
".@MarthaRaddatz was so unprofessional and biased when discussing me on This Week. @GStephanopoulos should not allow this conduct!,06-21-2015 23:12:02,258"
"The great Mike Wallace covered me in a much more professional manner than his son Chris Wallace of @FoxNews. Mike was a total pro!,06-21-2015 23:50:55,297"
".@KarlRove stated clearly that he wants to repeal the 2nd Amendment. I thought @FoxNews was going to fire that jerk after his Romney fiasco?,06-22-2015 00:46:35,290"
".@KarlRove still thinks Romney won! He doesn't have a clue! @FoxNews,06-22-2015 00:54:13,167"
"Sadly I will no longer be doing @foxandfriends at 7:00 A.M. on Mondays. This is because I am running for president and law prohibits. LOVE!,06-22-2015 10:31:26,754"
"I want to thank Elizabeth Steve Brian and all of the great folks of @foxandfriends for the long and successful run we had together. NICE!,06-22-2015 10:39:21,342"
".@deneenborelli  Thank you for your nice words--greatly appreciated.,06-22-2015 13:50:01,85"
"Thank you. https://t.co/l4g1VmXsCn,06-22-2015 14:10:27,179"
"Hillary Clinton Dominates the Pack in Fake Twitter Followers http://t.co/e16f6FM8uQ,06-22-2015 14:39:02,299"
".@JordanSpieth  Great job--you are a true champion! See you soon.,06-22-2015 14:55:10,332"
"It's time for government to stop picking winners &amp; losers. Let’s make sure everyone can achieve the American dream! https://t.co/u25yI5T7E8,06-22-2015 16:35:39,438"
"Who do you want negotiating for us? #MakeAmericaGreatAgain https://t.co/WASlyxbG1j,06-22-2015 16:42:24,275"
"Flashback – Jeb Bush received a $4M tax payer bailout in 1990 http://t.co/R2bpNbRQRX  Guess who was POTUS then?,06-22-2015 17:16:55,255"
"The Senate must NOT pass TPA! Any Senator who votes for it is disqualified for being POTUS. Protect the American worker and manufacturer!,06-22-2015 18:09:50,554"
"Entrepreneurs: Negotiation is an art. Treat it like one.,06-22-2015 18:43:16,632"
"Entrepreneurs: Be tough be smart be personable but don't take things personally. That's good business.,06-22-2015 18:46:14,1063"
"Entrepreneurs: Brainpower is the ultimate leverage. Don't underestimate yourself or your possibilities.,06-22-2015 19:03:04,660"
".@DanaPerino  Have you released a copy of the beautiful thank you card you sent me? Would you like to see it? @ericbolling @kimguilfoyle,06-22-2015 19:40:19,150"
"True. https://t.co/wjffOyAxZM,06-22-2015 20:47:04,356"
"Today I filed my Statement of Candidacy with the FEC. Let's #MakeAmericaGreatAgain https://t.co/DB4q4J2gKn,06-22-2015 21:38:56,939"
"Via @bpolitics by @emtitus: ”Defying Doubters Donald Trump Makes Presidential Bid Official” http://t.co/Cjz7p3hFPX,06-22-2015 22:49:01,194"
"“Donald trump files statement of candidacy” http://t.co/uiMCfHmtMU via @CBSNews,06-22-2015 23:18:28,289"
"Via @WSJPolitics by @reidepstein: “Trump Surges in Popularity in N.H.” http://t.co/Iw6O3qhquR,06-23-2015 15:34:50,190"
"My @gretawire interview on @FoxNewsInsider “Trump: 'Last Person I'd Want Negotiating for Me Is Obama'” http://t.co/DCIhNlGmdT,06-23-2015 18:25:43,259"
"Via @fitsnews:“Donald Trump Surges In New Hampshire Poll: MOGUL REALITY STAR EMERGES AS GRANITE STATE’S ‘ANTI-BUSH’ http://t.co/TqFBtG9PHc,06-23-2015 22:24:08,271"
"Speaking at the Red White and Blue Dinner in Maryland- https://t.co/TzuXN715fQ,06-24-2015 02:49:46,250"
"The highly respected Suffolk University poll just announced that I am alone in 2nd place in New Hampshire with Jeb Bust (Bush) in first.,06-24-2015 12:12:37,637"
"Politician @SenatorCardin didn't like that I said Baltimore needs jobs &amp; spirit. It's politicians like Cardin that have destroyed Baltimore.,06-24-2015 14:16:48,479"
"Thank you.  https://t.co/H8ZxLh6NCd,06-24-2015 15:25:37,384"
"My daughter Ivanka will be representing me today at the opening of our campaign office in Manchester NH  #MakeAmericaGreatAgain!,06-24-2015 19:20:03,611"
".@Neilyoung A few months ago Neil Young came to my office looking for $$ on an audio deal &amp; called me last week to go to his concert. Wow!,06-24-2015 20:52:20,395"
"For the nonbeliever here is a photo of @Neilyoung in my office and his $$ request—total hypocrite. http://t.co/Xm4BJvetIa,06-24-2015 21:01:34,1233"
".@Neilyoung’s song “Rockin’ In The Free World” was just one of 10 songs used as background music. Didn’t love it anyway.,06-24-2015 21:04:19,391"
"Uncomfortable looking NBC reporter Willie Geist calls me to ask for favors and then mockingly smiles when he is told of my high poll numbers,06-25-2015 00:36:14,590"
"Just out the new nationwide @FoxNews poll has me alone in 2nd place closely behind Jeb Bush-but Bush will NEVER Make America Great Again!,06-25-2015 00:48:24,1093"
"I am really beginning to respect Mark Halperin and John Heilemann as political reporters - they truly get why ""Trump"" poll numbers are high.,06-25-2015 01:00:32,478"
"The ratings for The View are really low. Nicole Wallace and Molly Sims are a disaster. Get new cast or just put it to  sleep. Dead T.V.,06-25-2015 01:55:14,667"
".@WhoopiGoldberg had better surround herself with better hosts than Nicole Wallace who doesn't have a clue. The show is close to death!,06-25-2015 02:07:53,407"
"My daughter Ivanka did great tonight in New Hampshire. The sold out crowd loved her and she loved them. Thanks Ivanka!,06-25-2015 02:11:01,682"
"My message MAKE AMERICA GREAT AGAIN is beginning to take hold. Bring back our jobs strengthen our military and borders help our VETS!,06-25-2015 02:16:38,2506"
"We have to bring back and cherish the middle class - once the backbone and true strength of the U.S.A. It can happen!,06-25-2015 03:17:46,1670"
"I hear that dopey political pundit Lawrence O'Donnell one of the dumber people on television is about to lose his show-no ratings?Too bad,06-25-2015 12:19:39,476"
"Governor Rick Scott of Florida did really poorly on television this morning. I hope he is O.K.,06-25-2015 12:29:09,352"
"Mexican gov doesn't want me talking about terrible border situation &amp; horrible trade deals. Forcing Univision to get me to stop- no way!,06-25-2015 14:26:52,1630"
"Univision wants to back out of signed @MissUniverse contract because I exposed the terrible trade deals that the U.S. makes with Mexico.,06-25-2015 14:27:20,1172"
"I love Mexico but not the unfair trade deals that the US so stupidly makes with them. Really bad for US jobs only good for Mexico.,06-25-2015 14:27:45,1911"
"Once again the Bush appointed  Supreme Court Justice John Roberts has let us down. Jeb pushed him hard! Remember!,06-26-2015 14:06:22,1066"
"Anyone who wants strong borders and good trade deals for the US should boycott @Univision.,06-26-2015 14:07:44,1191"
".@Univision cares far more about Mexico than it does about the U.S.  Are they controlled by the Mexican government?,06-26-2015 15:13:06,1029"
"If I win the presidency my judicial appointments will do the right thing unlike Bush's appointee John Roberts on ObamaCare.,06-26-2015 16:38:33,1704"
"Letter to @Univision - Re: @TrumpDoral https://t.co/6mauCmg6uO,06-26-2015 20:11:09,671"
"When somebody challenges you unfairly fight back - be brutal be tough - don't take it. It is always important to WIN!,06-27-2015 14:50:19,5378"
"When you are in a war or even a battle losing is not an option!,06-27-2015 14:52:12,1256"
".@billmaher: Bill you are really beginning to understand what is going on with ""Trump"" - actually you always knew!,06-27-2015 15:49:48,206"
"Only very stupid people think that the United States is making good trade deals with Mexico.Mexico is killing us at the border and at trade!,06-27-2015 17:17:08,1046"
"The leader and negotiators representing Mexico are far smarter and more cunning than the leader and negotiators representing the U.S.!,06-27-2015 17:20:20,680"
"I'll be in Iowa tonight making a speech to a record setting crowd. The word is getting out MAKE AMERICA GREAT AGAIN!,06-27-2015 17:41:33,1145"
"A great article by @NolteNCspelling out the truth on Mexico trade the border &amp; illegals. Thank you @BreitbartNews http://t.co/oJnV2OXcEc,06-27-2015 20:09:25,417"
"Must read article via @fitsnews: ""DONALD TRUMP VERSUS MEXICO"" http://t.co/tdjtvtB6NB,06-27-2015 20:40:55,326"
"Addressing record crowd @ Madison County Iowa GOP Dinner. We can bring common sense to DC &amp; Make America Great Again! http://t.co/mI7j7XDzOY,06-28-2015 00:50:53,926"
"Will be in Chicago tomorrow for a record setting (by far) luncheon.,06-28-2015 20:21:51,469"
"Via @thehill by @martinmatishak: “Trump: ‘We look like we’re beggars’ in Iran nuclear talks” http://t.co/z8RpCnuGN1,06-28-2015 21:06:23,231"
"See story in Fusion and Huff. Post about rape at the border. Beyond terrible! Isn't Fusion owned by Univision?,06-28-2015 21:12:37,325"
".@NYDailyNews the dying tabloid owned by dopey clown Mort Zuckerman puts me on the cover daily because I sell. My honor but it is dead!,06-28-2015 23:23:25,333"
"Univision apologized to me but I will not accept their apology. I will be suing them for a lot of money. Miss U.S.A. contestants are hurt!,06-28-2015 23:34:33,1472"
".@jorgeramosnews Please send me your new number your old one’s not working. Sincerely Donald J. Trump,06-29-2015 01:18:49,438"
"Saudi Arabia should be paying the United States many billions of dollars for our defense of them. Without us gone!  @AlWaleedbinT,06-29-2015 11:40:38,928"
"Remember Univision apologized!,06-29-2015 11:54:39,635"
"Via @JNSworldnews by @JacobKamarasJNS:  ""Donald Trump says he is no apprentice when it comes to Israel""http://t.co/O4yHtwCzbm,06-29-2015 16:24:15,267"
"Speaking at the City Club of Chicago. Sold out in minutes with thousands on the wait list!… https://t.co/7SKav05hnA,06-29-2015 17:38:39,468"
"Statement on Relationship with NBC- https://t.co/BpczGaIGWq,06-29-2015 20:14:37,1307"
"We MUST have strong borders and stop illegal immigration. Without that we do not have a country. Also Mexico is killing U.S. on trade. WIN!,06-30-2015 12:35:44,2180"
"I love the Mexican people but Mexico is not our friend. They're killing us at the border and they're killing us on jobs and trade. FIGHT!,06-30-2015 12:57:28,4219"
"Thank you Ted. https://t.co/MVUzSAn6ru,06-30-2015 13:51:36,1420"
"@tedcruz now I know you're smart! See you soon. http://t.co/vzVHbA1TAr#TCOT #MAKEAMERICAGREATAGAIN!,06-30-2015 20:17:31,415"
"Watch me on the @oreillyfactor tonight at 8PM.,06-30-2015 20:51:17,632"
"My just filed lawsuit against Univision. Always fight back when right. #MakeAmericaGreatAgain https://t.co/ies96YzSeG,06-30-2015 21:44:42,1550"
"Via @THESHARKTANK1: ""Donald Trump's Controversial Mexican Comments Are Accurate"" http://t.co/nYL2QQMwKZ,06-30-2015 22:21:55,702"
"Get ready for @Oreillyfactor tonight at 8- always interesting!,06-30-2015 22:52:18,717"
"My recent statement re: @macys -- We must have strong borders &amp; stop illegal immigration now!… https://t.co/HLCboRmTbl,07-01-2015 15:21:53,1023"
"Those who believe in tight border security stopping illegal immigration &amp;  SMART trade deals w/other countries should boycott @Macys.,07-01-2015 16:59:51,2084"
"For all of those who want to #MakeAmericaGreatAgain boycott @Macys. They are weak on border security &amp; stopping illegal immigration.,07-01-2015 17:00:19,2743"
".@andersoncooper  Anderson—Thank you for being so fair with your reporting &amp; story last night. Greatly appreciated!,07-01-2015 19:33:55,692"
".@GovernorPataki was a terrible governor of NY one of the worst -- would’ve been swamped if he ran again!,07-01-2015 21:09:35,352"
".@GovernorPataki  couldn’t be elected dog catcher if he ran again—so he didn’t!,07-01-2015 21:09:53,469"
"Interesting that @Macys criticized me but just paid $650000 in fines for racial profiling. Are they racists?,07-01-2015 21:10:58,3128"
"Who is @Macys to pretend innocence when they “racial profile” all over the place? Paid big fine!,07-01-2015 21:11:30,1320"
"Look what the President of NBC sent me recently about his stay in my Las Vegas hotel. Very loyal guy. https://t.co/J9bsbc1WEN,07-01-2015 21:57:12,771"
"Make our borders strong and stop illegal immigration. Even President Obama agrees- https://t.co/OcKfUFgSPU,07-01-2015 22:27:55,1134"
".@Macys stock just dropped. Interesting. So many people calling to say they are cutting up their @Macys credit card. Thank you!,07-02-2015 15:09:03,2029"
"Why doesn’t somebody study the horrible charges brought against @Macys for racial profiling? Terrible hypocrites!,07-02-2015 15:09:42,1247"
"“Trump Gives 'Em Hell” http://t.co/dD53I0PeXw via @limbaugh,07-02-2015 17:47:07,406"
"“NBC FIRES TRUMP KEEPS SHARPTON: The bigots of the NBC executive suite look the other way” http://t.co/EfQk8cbbTR via @AmSpec by @JeffJlpa1,07-02-2015 17:59:12,661"
"Via @trscoop: “Mark Levin DEFENDS Trump: Hillary Clinton is a CROOK and a FRAUD and she’s not treated this way!” http://t.co/MdU0pvTThi,07-02-2015 18:20:10,504"
"Via World Tribune ""The elites' problem with Donald Trump: He's not for sale"" by Jeffrey T. Kuhner http://t.co/ez08iprQH1,07-02-2015 18:24:26,475"
"Via Huffington Post ""Congrats America! Donald Trump Is Now A 2016 Presidential Front-runner"" http://t.co/X1YYz7x002 by Igor Bobic,07-02-2015 18:29:04,493"
"Great article by @RichLowry on @POLITICOMag : “Sorry Donald Trump Has A Point” http://t.co/5irmxJjPWk,07-02-2015 18:41:26,339"
"“TRUMP DECLARES VICTORY ON IMMIGRATION AS OBAMA ADMITS SOME ILLEGALS ARE ‘GANG BANGERS’” http://t.co/e0HLxf1dS2 via @BreitbartNews @ASwoyer,07-02-2015 18:49:27,683"
"New jobs report: 432000 left workforce manufacturing &amp; durable goods go - http://t.co/RD1blUZyRn We need leaders who understand business.,07-02-2015 18:59:58,550"
"Via @RedState by @EWErickson: “Always Play On Offense” http://t.co/mF3OjUMjp3,07-02-2015 19:12:19,159"
"New orders for manufacturing down 9/10 months  http://t.co/RD1blUZyRn Time for fair trade. Stop TPP!,07-02-2015 19:17:31,409"
"A country must enforce its borders. Respect for the rule of law is at our country’s core. We must build a wall! https://t.co/u25yI5T7E8,07-02-2015 19:24:12,1164"
"Obama once again just missed a self-imposed deadline with Iran. Our leadership is weak &amp; ineffective. Double the sanctions!,07-02-2015 19:41:00,1688"
"It is time to bring competence to Washington. It is time get results. Let’s Make America Great Again! https://t.co/u25yI6aIvG,07-02-2015 19:47:31,1215"
"As Governor of Texas Rick Perry could have done far more to secure the border - but that's O.K. I like him anyway!  @GovernorPerry,07-03-2015 04:19:53,607"
"Mexican leaders and negotiators are much tougher and smarter than those of the U.S. Mexico is killing us on jobs and trade. WAKE UP!,07-03-2015 11:09:51,1349"
"Wow Huffington Post just stated that I am number 1 in the polls of Republican candidates. Thank you but the work has just begun!,07-03-2015 11:22:38,3552"
"A nation that cannot control its borders is not a nation. - President Ronald Reagan,07-03-2015 16:18:55,3679"
"Via @DailyCaller by @rpollockDC: “NYC Mayor Action Against Donald Trump Is ‘Not the American Way’” http://t.co/SnV1yXVs4P,07-03-2015 18:43:58,380"
"We need jobs &amp; we need them fast. I am a job creator. None of the pols can or will. Let's Make America Great Again! https://t.co/u25yI5T7E8,07-03-2015 18:48:17,1372"
"Via @NRO by @JOELMENTUM: “Matchless Name Recognition and Deep Pockets Make Trump a Threat in Iowa” http://t.co/Wg3eBcDypo,07-03-2015 21:14:38,264"
"Our Southern border is totally out of control. This is an absolutely disgraceful. situation.http://t.co/ujz3jENIYo We need border security!,07-03-2015 22:08:09,1217"
"Our Southern border is unsecure. I am the only one that can fix it nobody else has the guts to even talk about it. http://t.co/ujz3jENIYo,07-03-2015 22:12:24,2225"
"My heartfelt condolences to the family of Kathryn Steinle. Very very sad!,07-03-2015 22:39:46,1140"
"Where are the other candidates now that this tragic murder has taken place b/c of our unsafe border http://t.co/amaV7tqgAR We need a wall!,07-03-2015 22:44:54,1801"
".@marcorubio what do you say to the family of Kathryn Steinle in CA who was viciously killed b/c we can't secure our border? Stand up for US,07-03-2015 23:26:22,1977"
".@TheJuanWilliams you never speak well of me &amp; yet when I saw you at Fox you ran over like a child and wanted a picture. Please share pic!,07-03-2015 23:29:08,1856"
"Via @CNNPolitics by @teddyschleifer: ""Trump: San Francisco killing shows perils of illegal immigration"" http://t.co/WJ872PRCO5,07-04-2015 02:59:15,404"
"I will be on @foxandfriends this morning at 8:30. Enjoy!,07-04-2015 12:05:49,682"
"HAPPY 4TH OF JULY TO EVERYONE!  MAKE AMERICA GREAT AGAIN!,07-04-2015 13:16:44,4517"
"What about the undocumented immigrant with a record who killed the beautiful young women (in front of her father) in San Fran. Get smart!,07-04-2015 22:15:01,1019"
"Why would Republican candidates want the support of Mitt Romney. He lost an election against Obama that should NEVER have been lost!,07-04-2015 22:28:56,1324"
"Via @BreitbartNews: ""GAME ON: TRUMP RESPONDS TO JEB"" http://t.co/whpR1m7FFz,07-04-2015 22:48:59,306"
"Miss Universe Paulina Vega criticized me for telling the truth about illegal immigration but then said she would keep the crown-Hypocrite,07-05-2015 08:57:17,3509"
"Rick Perry failed at the border. Now he is critical of me. He needs a new pair of glasses to see the crimes committed by illegal immigrants.,07-05-2015 14:44:31,2048"
"I appreciate the GOP candidates who remain strong on border security. They know I am right. A nation without borders cannot survive.,07-05-2015 14:51:42,2897"
"Jeb Bush will never secure our border or negotiate great trade deals for American workers. Jeb doesn't see &amp; can't solve the problems.,07-05-2015 15:02:22,1810"
"Flashback – Jeb Bush says  illegal immigrants breaking our laws is an “act of love” http://t.co/p8yFzVuw8w He will never secure the border.,07-05-2015 15:23:20,1451"
"It is time to create jobs for Americans not D.C. We need a bold new direction. Let’s Make America Great Again! https://t.co/u25yI5T7E8,07-05-2015 15:33:38,2141"
"Thank you @loudobbsnews I will be trying very hard to prove you right - great show!,07-06-2015 00:27:15,541"
"I said simply that the Mexican leaders and negotiators are smarter than ours and that the Mexican gov't is pushing their hard core to U.S.,07-06-2015 00:47:54,1472"
"Thx to all the people who called to say they are cutting their @Macys credit card as a protest against illegal immigrants pouring into US,07-06-2015 17:14:42,3086"
"We have got to take our country back. It's time!,07-07-2015 02:48:36,4392"
"People rarely say that many conservatives didn’t vote for Mitt Romney. If I can get them to vote for me we win in a landslide.,07-07-2015 15:33:19,1379"
".@AnnCoulter U were great last nite @ericbolling on FOX. Our country has become a dumping ground for the world--I'll get it to stop &amp; fast!,07-07-2015 15:35:14,1257"
